Well,topoil,baseoil,topgas,basegas,topcond,basecond
25_7-6.las,,,,,,
25_8-1.las,,,,,,
25_8-10S.las,,,,,,
25_8-11.las,,,,,,
25_8-13.las,,,,,,
25_8-14S.las,,,,,,
25_8-16S.las,,,,,,
25_8-17.las,,,,,,
25_8-18S.las,,,,,,
25_8-2.las,,,,,,
25_8-4.las,,,,,,
25_8-5S.las,,,,,,
25_8-7.las,,,,,,
25_8-8S.las,,,,,,
25_8-9.las,,,,,,
25_9-1.las,,,,,,
25_9-2S.las,,,,,,
25_9-3.las,,,,,,
25_9-4.las,,,,,,
6_3-2.las,,,,,,
7_1-1.las,,,,,,
7_1-2S.las,,,,,,
